type,name,country,emoji1,emoji2,emoji3,emoji4
country,Albania,Albania,🦅,⛰️,🌊,🥟
country,Andorra,Andorra,⛷️,⛰️,🧀,🏰
country,Austria,Austria,🎼,⛰️,🍰,🎿
country,Belarus,Belarus,🥔,🌲,🪡,🦌
country,Belgium,Belgium,🍫,🧇,🍺,🛡️
country,Bosnia and Herzegovina,Bosnia and Herzegovina,☕,⛰️,🌉,🥘
country,Bulgaria,Bulgaria,🌹,⛪,🍯,⛰️
country,Croatia,Croatia,🏖️,⛵,🐟,🪨
country,Cyprus,Cyprus,🏝️,🍋,🧿,🐢
country,Czech Republic,Czech Republic,🍺,🕰️,🏰,🎭
country,Denmark,Denmark,🧱,🌬️,🥓,🐟
country,Estonia,Estonia,💻,🌲,🧖,🦉
country,Finland,Finland,🧖‍♂️,❄️,🌲,🫐
country,France,France,🐓,🧴,🏰,🧀
country,Germany,Germany,🦅,🧪,🏰,🎼
country,Greece,Greece,🫒,🏛️,🌊,🍯
country,Hungary,Hungary,🌶️,♨️,🎻,🥘
country,Iceland,Iceland,🌋,🧊,🐑,🌌
country,Ireland,Ireland,🍀,🥃,🎻,🌧️
country,Italy,Italy,🍕,🎭,🍋,🛵
country,Kosovo,Kosovo,⛰️,🦅,🧀,🏀
country,Latvia,Latvia,🌲,🎶,🍯,🦊
country,Liechtenstein,Liechtenstein,👑,⛰️,🏦,🧀
country,Lithuania,Lithuania,🏀,🌲,🧡,🍞
country,Luxembourg,Luxembourg,🏦,🛡️,🌳,🍷
country,Malta,Malta,🏝️,⛵,🏰,🐠
country,Moldova,Moldova,🍇,🌻,🍷,🎻
country,Monaco,Monaco,🏎️,🛥️,🎰,💎
country,Netherlands,Netherlands,🌊,🧑‍🎨,🧇,🐄
country,North Macedonia,North Macedonia,⛰️,🍇,🧀,🏛️
country,Norway,Norway,🌌,⛷️,🛢️,🐟
country,Poland,Poland,🥟,🦅,⛪,🌲
country,Portugal,Portugal,🌊,🎸,🍮,🧂
country,Romania,Romania,🧛,⛰️,🌻,🦇
country,Russia,Russia,🪆,🚀,❄️,🐻
country,San Marino,San Marino,🏰,⛰️,🛡️,🍷
country,Serbia,Serbia,🎺,🥩,⛪,🌊
country,Slovakia,Slovakia,⛰️,🧀,⛪,🐻
country,Slovenia,Slovenia,🟢,⛰️,🐉,🚣
country,Spain,Spain,☀️,💃,🍊,🎸
country,Sweden,Sweden,🪑,🫐,🦌,🌲
country,Switzerland,Switzerland,⛰️,⌚,🫕,🚞
country,Tunisia,Tunisia,🏜️,🕌,🫒,🌶️
country,Turkey,Turkey,🧿,🕌,🍢,☕
